"focal_GC" "sister_GC" "delta_GC" "directionGC" "related_GC3" "focal_GC3" "change_in_dNdS" "focal_dS" "related_dS" "focal_dNdS" "related_dNdS" "deltaGC3" "focal_branch_length" "sister_branch_length" "focal_CUB" "sister_CUB" "focal_genome_size" "sister_genome_size" "genome_size_ratio" "focal_genome_size_checkM" "sister_genome_size_checkM" "genome_size_ratio_checkM" "focal_coding_density" "sister_coding_density" "focal_pseudogenes" "sister_pseudogenes" "focal_IGR_length" "sister_IGR_length" "focal_metabolism" "sister_metabolism" "focal_isolation" "sister_isolation" "endoSymb_status"
"Rhizobiale_jump10" 52.62 62.24 -9.62 "-1" NA NA NA NA NA NA NA NA 0.08 0.03 0.69 0.49 3.54 3.71 0.95 3.55 3.71 0.96 91.54 89.59 0.3 1 109 134 "obligate aerobic" "obligate aerobic" "host" "water" "0"
"Rhizobiale_jump11" 56.93 61.48 -4.55 "-1" NA NA NA NA NA NA NA NA NA NA 0.74 0.65 3.73 5.98 0.62 3.75 6.03 0.62 91.04 87.85 1.5 2.7 129 139 "aerobic" "NA|aerobic|NA|NA|facultative|microaerophilic|NA|aerobic|aerobic|NA|NA|NA|NA|NA|NA|aerobic|anaerobic|NA|facultative|obligate aerobic|NA|NA|NA|obligate aerobic|aerobic|aerobic|aerobic|aerobic|aerobic|NA|aerobic|NA|NA|NA|NA|NA|NA|facultative|obligate aerobic|aerobic|aerobic|NA|obligate aerobic|aerobic|obligate aerobic|NA|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|NA|NA|aerobic|aerobic|NA|aerobic|aerobic|NA|NA|obligate aerobic|NA|NA|aerobic|aerobic|NA|NA|aerobic|NA|aerobic|aerobic|NA|NA|NA|NA|aerobic|aerobic|aerobic|NA|NA|NA|NA|NA|NA|aerobic|NA|NA|NA|NA|NA|aerobic|aerobic|aerobic|aerobic|aerobic|NA|NA|NA|NA|NA|aerobic|aerobic|aerobic|obligate aerobic|NA|NA|NA|NA|NA|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|NA|NA|NA|NA|NA|NA|aerobic|aerobic|NA|NA|NA|NA|NA|facultative|NA|aerobic|NA|NA|NA|NA|NA|NA|aerobic|NA|aerobic|NA|NA|NA|aerobic|obligate aerobic|aerobic|aerobic|NA|aerobic|aerobic|NA|aerobic|NA|aerobic|NA|obligate aerobic|obligate aerobic|NA|obligate aerobic|NA|NA|aerobic|NA|NA|NA|aerobic|NA|NA|NA|NA|NA|NA|obligate aerobic|aerobic|NA|NA|aerobic|NA|NA|NA" "water" "NA|water|NA|NA|NA|rock|NA|NA|NA|host|NA|NA|NA|NA|NA|host|NA|water|host|water|soil|NA|NA|host|host|host|host|host|host|NA|host|NA|NA|NA|NA|NA|NA|host|host|host|host|NA|host|host|host|NA|host|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|host|NA|NA|NA|host|host|host|host|host|NA|NA|host|NA|NA|host|host|NA|NA|host|NA|NA|host|NA|NA|rock|NA|host|host|host|NA|NA|NA|NA|NA|NA|NA|NA|host|NA|NA|NA|soil|host|host|host|host|NA|NA|NA|NA|NA|host|host|host|host|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|host|NA|host|sludge|NA|NA|NA|host|host|NA|NA|NA|host|water|water|sediment|wastewater|NA|NA|water|NA|NA|NA|soil|NA|host|NA|NA|NA|host|NA|host|host|NA|host|host|soil|host|NA|host|NA|host|NA|NA|host|host|NA|host|NA|NA|NA|sludge|NA|NA|NA|NA|NA|NA|host|water|NA|NA|water|NA|NA|NA" "0"
"Rhizobiale_jump12" 61.25 66.74 -5.48999999999999 "-1" NA NA NA NA NA NA NA NA 0.1 0.014 0.57 0.74 3.77 4.33 0.87 3.78 4.33 0.87 87 88 1.9 2.6 112 105 "aerobic" "aerobic" "water" "water" "0"
"Rhizobiale_jump13" 65.46 60 5.45999999999999 "1" 0.593 0.628 0.791 0.559 0.444 0.032 0.041 0.035 NA NA 0.67 0.67 5.1 4.49 1.14 5.13 5.57 0.92 89 89 3.6 3.4 98 102 "facultative|NA" "anaerobic|NA" "NA|NA" "NA|water" "0"
"Rhizobiale_jump14" 35.32 60.71 -25.39 "-1" NA NA NA NA NA NA NA NA NA NA 0.03 1.05 1.27 6.14 0.21 1.3 6.18 0.21 80.3 87.61 4.5 2.7 228 160 "aerobic|NA|NA|NA|NA" "NA|NA|obligate aerobic|aerobic|aerobic|aerobic|aerobic|aerobic|NA|aerobic|NA|NA|NA|NA|NA|NA|facultative|obligate aerobic|aerobic|aerobic|NA|obligate aerobic|aerobic|obligate aerobic|NA|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|NA|NA|aerobic|aerobic|NA|aerobic|aerobic|NA|NA|obligate aerobic|NA|NA|aerobic|aerobic|NA|NA|aerobic|NA|aerobic|aerobic|NA|NA|NA|NA|aerobic|aerobic|aerobic|NA|NA|NA|NA|NA|NA|aerobic|NA|NA|NA|NA|NA|aerobic|aerobic|aerobic|aerobic|aerobic|NA|NA|NA|NA|NA|aerobic|aerobic|aerobic|obligate aerobic|NA|NA|NA|NA|NA|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|NA|NA|NA|NA" "host|host|host|host|host" "NA|NA|host|host|host|host|host|host|NA|host|NA|NA|NA|NA|NA|NA|host|host|host|host|NA|host|host|host|NA|host|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|host|NA|NA|NA|host|host|host|host|host|NA|NA|host|NA|NA|host|host|NA|NA|host|NA|NA|host|NA|NA|rock|NA|host|host|host|NA|NA|NA|NA|NA|NA|NA|NA|host|NA|NA|NA|soil|host|host|host|host|NA|NA|NA|NA|NA|host|host|host|host|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|host|NA|host|sludge|NA" "1"
"Rhizobiale_jump15" 55.03 58.42 -3.39 "-1" NA NA NA NA NA NA NA NA 0.012 0.016 1.35 1.1 5.18 5.78 0.9 5.52 5.8 0.95 87 88 1.9 2.5 103 113 "NA|NA" "NA|aerobic" "NA|NA" "host|host" "0"
"Rhizobiale_jump16" 49.11 60.75 -11.64 "-1" 0.607 0.485 1.817 0.818 0.981 0.066 0.037 -0.122 NA NA 1.13 1 3.4 6.04 0.56 3.44 6.12 0.56 90.89 87.72 1.3 2.7 109 155 "NA|aerobic" "NA|aerobic|anaerobic|NA|facultative|obligate aerobic|NA|NA|NA|obligate aerobic|aerobic|aerobic|aerobic|aerobic|aerobic|NA|aerobic|NA|NA|NA|NA|NA|NA|facultative|obligate aerobic|aerobic|aerobic|NA|obligate aerobic|aerobic|obligate aerobic|NA|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|NA|NA|aerobic|aerobic|NA|aerobic|aerobic|NA|NA|obligate aerobic|NA|NA|aerobic|aerobic|NA|NA|aerobic|NA|aerobic|aerobic|NA|NA|NA|NA|aerobic|aerobic|aerobic|NA|NA|NA|NA|NA|NA|aerobic|NA|NA|NA|NA|NA|aerobic|aerobic|aerobic|aerobic|aerobic|NA|NA|NA|NA|NA|aerobic|aerobic|aerobic|obligate aerobic|NA|NA|NA|NA|NA|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|NA|NA|NA|NA" "NA|water" "NA|host|NA|water|host|water|soil|NA|NA|host|host|host|host|host|host|NA|host|NA|NA|NA|NA|NA|NA|host|host|host|host|NA|host|host|host|NA|host|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|host|NA|NA|NA|host|host|host|host|host|NA|NA|host|NA|NA|host|host|NA|NA|host|NA|NA|host|NA|NA|rock|NA|host|host|host|NA|NA|NA|NA|NA|NA|NA|NA|host|NA|NA|NA|soil|host|host|host|host|NA|NA|NA|NA|NA|host|host|host|host|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|host|NA|host|sludge|NA" "0"
"Rhizobiale_jump17" 52.08 57.47 -5.39 "-1" NA NA NA NA NA NA NA NA 0.04 0.031 1.31 0.98 4.05 4.43 0.91 4.05 4.44 0.91 86 88 1.4 4.5 121 103 NA "NA|NA|aerobic|aerobic" NA "NA|NA|host|host" "0"
"Rhizobiale_jump18" 53.72 56.91 -3.19 "-1" 0.582 0.547 0.993 0.324 0.224 0.054 0.055 -0.0349999999999999 0.02 0.012 1.15 0.98 4.99 4.81 1.04 4.99 4.82 1.04 87 88 3.7 4.5 108 103 "NA|NA|obligate aerobic" "aerobic|aerobic" "NA|NA|host" "host|host" "0"
"Rhizobiale_jump19" 38.21 57.47 -19.26 "-1" 0.585 0.425 0.996 0.761 0.821 0.034 0.038 -0.16 NA NA 0.03 0.81 1.85 4.82 0.38 1.85 4.82 0.38 76.94 88.25 8.4 3 271 141 "NA|aerobic|aerobic|microaerophilic|NA|microaerophilic|microaerophilic|aerobic|obligate aerobic|NA|microaerophilic|NA|aerobic|microaerophilic|aerobic|microaerophilic|aerobic|microaerophilic|aerobic|NA|aerobic|aerobic|NA|NA|NA|NA|microaerophilic|aerobic|NA|microaerophilic" "NA|NA|aerobic|aerobic|NA|NA|NA|NA" "host|host|host|host|host|host|host|host|host|host|host|NA|host|host|host|NA|host|host|host|host|host|host|host|host|host|host|NA|host|NA|NA" "NA|NA|host|host|NA|NA|NA|host" "1"
